1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.0,2777064.59873002,2204851.93351724,541045.213375054,197968.859688798,79959.7274429236,3737360.93062884,1993996.03454857,3932684.79167086,215568.446845165,361129.32961058,3943231.8422854,1498132.57844088,197086.892837735,1946727.64535351,1936271.18013803,3719075.30964967,451615.993663499,3154925.79135131,496962.908929195,3929768.94347258,4132065.4476926,3837420.26450602,538970.730767242,3699574.64724154,4027112.19618925,3476299.50013603,3938246.89677885,3545693.12062477,3962120.71227681
2777064.59873002,0.0,1497367.83243032,2362008.60601762,2721710.91142089,2769946.44633421,1925986.95877407,1282986.35148569,1167239.79187629,2623113.66567197,2422562.21692571,1176646.11162863,2742195.57875801,2582310.47873142,1310941.127262,1682349.67815159,1871108.5881802,2934032.63362987,377964.377199282,2934225.06266107,1162668.00279183,1355147.41436338,1084822.53138518,2859289.59955598,1819899.72154881,1257450.6573764,1627212.07301997,1170005.91513166,1595858.76047688,1194889.90445162
2204851.93351724,1497367.83243032,0.0,1664863.21680397,2053836.29002281,2155241.33447708,1535458.94120756,349468.408537082,2279685.76472202,1992672.26133854,1958396.16792642,2293339.2304356,2995634.03241993,2027454.53287532,371068.184629558,305889.519597814,1520707.87911388,2564728.48685303,1756814.66222475,2590749.08282044,2284201.9249272,2560313.65956947,2158438.46129178,2563643.40838859,1505590.43468953,2379193.87025896,1291407.81537864,2296523.44274242,1375228.73463805,2312142.19314336
541045.213375054,2362008.60601762,1664863.21680397,0.0,396934.604334754,490841.798016692,3198769.17994793,1466136.16637334,3492108.23050975,327810.745550782,393587.69818042,3503429.8418561,1759238.01938281,378160.436692951,1418385.68048443,1395340.64768924,3181474.07230865,940871.284265915,2737821.93313308,976442.608599219,3490500.46402703,3710613.10026673,3390268.68654454,978829.759560423,3163006.52957256,3589262.53192489,2941325.28659429,3499851.54033445,3013431.37177867,3522665.90237675
197968.859688798,2721710.91142089,2053836.29002281,396934.604334754,0.0,121003.473370648,3589143.93949221,1862862.48389521,3865375.764593,104825.022841348,387560.065694756,3876372.2130727,1665583.87114179,207539.941611375,1815070.65180858,1776606.32459296,3573082.14813025,649519.094487152,3099312.84387309,694563.580116005,3863197.58594598,4075514.09881279,3766248.80247731,732362.679310919,3555615.68387538,3961437.22988275,3335178.37520711,3872176.65463083,3408608.5278298,3895476.20322761
79959.7274429236,2769946.44633421,2155241.33447708,490841.798016692,121003.473370648,0.0,3689535.49078404,1953518.78322525,3921065.44567233,164060.488406382,375840.506205763,3931805.60746845,1572571.14908406,193378.320176345,1905975.81466385,1882338.60598252,3672315.85681707,530450.409005644,3147906.8880507,576238.953398459,3918460.14988989,4125026.44134571,3824135.59892363,618878.684576015,3653783.74089683,4016211.83573994,3431808.13123594,3927152.2372122,3503116.13730666,3950791.21683536
3737360.93062884,1925986.95877407,1535458.94120756,3198769.17994793,3589143.93949221,3689535.49078404,0.0,1763784.27792667,1780808.6160832,3526470.04818162,3474604.31282017,1792741.65448217,4347722.70740749,3556353.87506025,1808438.54272571,1822372.5705113,60525.6491910984,4080925.91183189,1872424.4867024,4103450.92850185,1793640.56207462,2056693.18076785,1679371.41177226,4067412.55722144,115596.836519344,1844869.9511508,312053.697695113,1805823.66311583,331904.502770089,1803215.89802351
1993996.03454857,1282986.35148569,349468.408537082,1466136.16637334,1862862.48389521,1953518.78322525,1763784.27792667,0.0,2209425.05388094,1789470.52605833,1713739.10413024,2222479.27182161,2669459.07611521,1806380.55771416,48026.8938308784,404888.946698578,1739528.05531675,2318833.02133635,1590639.96954775,2340404.01391267,2211715.98055167,2473112.24904917,2093068.1062221,2303637.16552755,1715521.89028612,2310063.72421385,1488053.10213018,2223178.76078458,1552783.21435376,2241835.90236303
3932684.79167086,1167239.79187629,2279685.76472202,3492108.23050975,3865375.764593,3921065.44567233,1780808.6160832,2209425.05388094,0.0,3769673.71743775,3582051.70089017,13939.3869604625,3842439.25082432,3736562.53896939,2250875.93435616,2549601.7250254,1721730.80715844,4101206.02248977,799315.843105571,4101454.11004976,14712.3455668437,296342.347248624,123038.472122698,4026155.90405925,1668975.82187206,100639.019833758,1608740.46987028,25118.5136122571,1507613.32726375,32532.3632202838
215568.446845165,2623113.66567197,1992672.26133854,327810.745550782,104825.022841348,164060.488406382,3526470.04818162,1789470.52605833,3769673.71743775,0.0,289280.084389029,3780567.83099651,1606872.62402648,123335.708959135,1741921.23443904,1721836.4465977,3508967.26264051,646336.627018226,3000898.65506425,687673.124388362,3767323.24582233,3977526.16794693,3671452.11238498,711176.237760631,3490220.90160305,3865378.67928175,3268015.34247358,3776188.71351917,3339119.92002657,3799626.22891724
361129.32961058,2422562.21692571,1958396.16792642,393587.69818042,387560.065694756,375840.506205763,3474604.31282017,1713739.10413024,3582051.70089017,289280.084389029,0.0,3592374.6033279,1375530.48986463,185799.818589151,1667929.42010054,1713482.31891071,3452210.20464379,606893.263450166,2800079.61412878,632443.068339041,3578787.44911169,3776807.03588767,3488829.21874449,612886.543598957,3429089.01655466,3675629.24696755,3201749.36484684,3587022.99972586,3264131.40539332,3611144.78095067
3943231.8422854,1176646.11162863,2293339.2304356,3503429.8418561,3876372.2130727,3931805.60746845,1792741.65448217,2222479.27182161,13939.3869604625,3780567.83099651,3592374.6033279,0.0,3848465.17027688,3747159.21018237,2263875.12767604,2563058.32436326,1733718.65167232,4110673.13225715,807787.80229175,4110788.51491036,14478.1875591364,282552.15471527,136969.244023078,4035302.53688034,1681031.41693865,87711.9534877234,1621644.85838451,16190.3712149594,1520301.64075122,19470.7797279182
1498132.57844088,2742195.57875801,2995634.03241993,1759238.01938281,1665583.87114179,1572571.14908406,4347722.70740749,2669459.07611521,3842439.25082432,1606872.62402648,1375530.48986463,3848465.17027688,0.0,1484891.42634723,2635390.79007268,2835687.31151362,4309967.28166578,1142230.21947064,3062826.01581937,1095960.13540465,3833995.65473658,3939663.10266618,3786702.36214294,1007154.63654277,4273094.292333,3915338.74933192,4041939.67777358,3837740.99976836,4069379.28568082,3863906.87441411
197086.892837735,2582310.47873142,2027454.53287532,378160.436692951,207539.941611375,193378.320176345,3556353.87506025,1806380.55771416,3736562.53896939,123335.708959135,185799.818589151,3747159.21018237,1484891.42634723,0.0,1759417.73978908,1766156.30817425,3536791.36719084,563494.17505321,2960246.03309045,600536.844399581,3733726.19860318,3937441.25181923,3640920.60567951,611650.817377285,3516187.77921802,3831183.306527,3291596.21075465,3742261.25497202,3359040.79331152,3766073.99385816
1946727.64535351,1310941.127262,371068.184629558,1418385.68048443,1815070.65180858,1905975.81466385,1808438.54272571,48026.8938308784,2250875.93435616,1741921.23443904,1667929.42010054,2263875.12767604,2635390.79007268,1759417.73978908,0.0,387921.776608205,1784720.80240064,2273365.34114368,1624142.18734625,2295248.86578687,2253004.53486686,2513052.11981826,2134974.40087752,2259212.9584501,1761163.73414098,2351505.77162452,1534126.33681499,2264394.20780941,1599633.36873711,2283253.79947581
